nuRepos,startDates,endDates,ginis,endLOCs,uniqueAuthorsFromBeginning,numAnnotationsThisWindow,numCommitsThisWindow
facebook/fresco,2018-03-09,2018-06-07,0.6253101737,63524,39,93,13
facebook/fresco,2018-06-13,2018-09-11,0.4254510921,64903,44,78,27
facebook/fresco,2018-09-14,2018-12-07,0.5618811881,66329,51,101,20
facebook/fresco,2018-12-19,2019-03-19,0.7269076305,69039,52,166,24
facebook/fresco,2019-04-02,2019-06-27,0.503196347,70879,59,146,30
facebook/fresco,2019-07-29,2019-10-25,0.4222972973,73315,65,111,24
facebook/fresco,2019-10-28,2020-01-23,0.4929906542,74708,72,107,20
facebook/fresco,2020-01-27,2020-04-26,0.7876575979,77122,75,274,22
facebook/fresco,2020-04-28,2020-07-10,0.4947150735,77709,77,272,32
facebook/stetho,2015-01-28,2015-04-28,0.5272904483,9426,4,108,19
facebook/stetho,2015-04-30,2015-07-23,0.4324324324,11386,8,37,7
facebook/stetho,2015-07-30,2015-10-05,0.5029850746,12525,9,67,10
facebook/stetho,2016-01-21,2016-02-01,0.1666666667,13349,9,3,2
facebook/stetho,2016-05-27,2016-06-01,0.4230769231,14193,11,13,2
facebook/stetho,2016-12-12,2017-03-12,0.4702380952,14676,12,42,8
facebook/stetho,2017-07-26,2017-07-26,0,14814,13,2,1
facebook/stetho,2018-10-10,2018-10-10,0,14984,14,4,1
didi/DoraemonKit,2018-12-21,2019-02-22,0.5172413793,15680,1,116,3
didi/DoraemonKit,2019-03-30,2019-06-14,0.5776255708,20644,3,73,6
didi/DoraemonKit,2019-07-02,2019-08-14,0.5217391304,21416,4,23,3
didi/DoraemonKit,2019-10-30,2020-01-12,0.7702991453,38915,6,234,8
didi/DoraemonKit,2020-02-21,2020-05-11,0.5847953216,44454,6,81,19
scwang90/SmartRefreshLayout,2017-06-02,2017-06-26,0.35,11004,2,20,6
scwang90/SmartRefreshLayout,2017-10-10,2018-01-07,0.4,15025,3,35,7
scwang90/SmartRefreshLayout,2018-01-29,2018-03-23,0.6141304348,14285,3,184,14
scwang90/SmartRefreshLayout,2018-05-29,2018-07-03,0.2424242424,14339,3,11,3
scwang90/SmartRefreshLayout,2018-12-10,2019-01-25,0.45,15426,3,30,4
scwang90/SmartRefreshLayout,2019-04-23,2019-05-26,0.04166666667,15412,4,16,3
scwang90/SmartRefreshLayout,2019-07-23,2019-08-13,0.05128205128,15690,4,13,3
scwang90/SmartRefreshLayout,2019-12-24,2019-12-24,0,15775,4,1,1
scwang90/SmartRefreshLayout,2020-05-27,2020-05-31,0,15990,4,4,2
wix/react-native-navigation,2016-07-24,2016-07-24,0,1217,1,1,1
wix/react-native-navigation,2016-12-03,2016-12-03,0,5456,2,1,1
wix/react-native-navigation,2017-03-26,2017-05-09,0.1333333333,1969,3,6,5
wix/react-native-navigation,2017-07-13,2017-07-13,0,2634,4,1,1
wix/react-native-navigation,2017-11-28,2018-02-26,0.37890625,6957,6,32,16
wix/react-native-navigation,2018-03-01,2018-05-29,0.1978609626,10200,6,22,17
wix/react-native-navigation,2018-06-04,2018-08-30,0.403654485,13456,7,43,14
wix/react-native-navigation,2018-09-03,2018-11-04,0.3771929825,14613,8,19,6
wix/react-native-navigation,2018-12-17,2019-03-17,0.3625,15716,8,20,8
wix/react-native-navigation,2019-05-21,2019-08-14,0.3410138249,16643,9,31,7
wix/react-native-navigation,2019-08-20,2019-11-13,0,16823,11,3,3
wix/react-native-navigation,2019-12-10,2020-03-03,0.437037037,15923,12,30,9
wix/react-native-navigation,2020-03-26,2020-04-01,0.4166666667,16168,12,12,2
wix/react-native-navigation,2020-07-01,2020-07-07,0.3846153846,16240,12,26,2
bumptech/glide,2015-06-03,2015-08-24,0.5334620335,30036,4,111,14
bumptech/glide,2015-09-04,2015-11-20,0.4464285714,30436,7,28,8
bumptech/glide,2016-03-09,2016-03-09,0,31113,8,1,1
bumptech/glide,2016-06-08,2016-07-13,0.09523809524,31554,9,7,3
bumptech/glide,2017-03-18,2017-04-18,0.337037037,34089,10,27,10
bumptech/glide,2017-08-04,2017-11-02,0.5832147937,38950,11,74,19
bumptech/glide,2017-11-04,2018-01-30,0.7218491248,62432,14,1454,51
bumptech/glide,2018-02-05,2018-04-25,0.7691570881,63331,17,174,12
bumptech/glide,2018-06-22,2018-09-12,0.6391304348,57181,18,230,8
bumptech/glide,2018-10-05,2018-12-21,0.4828431373,57834,21,51,8
bumptech/glide,2019-01-10,2019-03-05,0.1666666667,57876,22,6,2
bumptech/glide,2019-05-01,2019-07-19,0.4857142857,60460,23,70,11
bumptech/glide,2019-08-05,2019-10-31,0.487704918,61266,24,61,12
bumptech/glide,2019-11-07,2020-01-13,0.25,62461,24,32,3
bumptech/glide,2020-03-25,2020-06-01,0.4307692308,62829,24,13,5
bumptech/glide,2020-07-07,2020-07-21,0.2142857143,63035,24,14,2
ReactiveX/RxJava,2017-01-28,2017-04-01,0.6414993307,193611,8,498,15
ReactiveX/RxJava,2017-05-16,2017-06-04,0.2142857143,194847,8,7,2
ReactiveX/RxJava,2017-11-19,2018-02-16,0.4166666667,200657,12,24,7
ReactiveX/RxJava,2018-02-19,2018-05-17,0.3777777778,218580,15,70,9
ReactiveX/RxJava,2018-08-01,2018-08-05,0.25,221656,15,20,2
ReactiveX/RxJava,2018-12-19,2019-01-17,0.4259259259,225120,16,27,2
ReactiveX/RxJava,2019-06-13,2019-06-24,0.3958333333,231441,16,48,4
ReactiveX/RxJava,2019-12-03,2020-02-12,0.8570219436,251408,19,3828,50
jenkinsci/jenkins,2012-07-05,2012-10-01,0.2962962963,80058,3,15,9
